"sulfonamide allergy"
"diclofenac allergy"
"quinidine allergy"
"Streptococcus pneumonia"
"bacterial sepsis"
"autoimmune gastritis"
"autoimmune cardiomyopathy"
"autoimmune atherosclerosis"
"adiaspiromycosis"
"invasive aspergillosis"
"Keshan disease"
"obsolete entomophthoromycosis"
"hemophagocytic lymphohistiocytosis"
"sinusitis"
"osmotic diarrhea"
"cutaneous mycosis"
"subcutaneous mycosis"
"Kartagener syndrome"
"polycystic echinococcosis"
"acanthocephaliasis"
"dioctophymiasis"
"basidiobolomycosis"
"foodborne botulism"
"wound botulism"
"Andersen-Tawil syndrome"
"Frasier syndrome"
"Alstrom syndrome"
"endemic typhus"
"paralytic poliomyelitis"
"cone-rod dystrophy"
"L-2-hydroxyglutaric aciduria"
"acrodermatitis enteropathica"
"alopecia universalis"
"transthyretin amyloidosis"
"Bethlem myopathy"
"nicotine dependence"
"Zollinger-Ellison syndrome"
"iridogoniodysgenesis syndrome"
"CHARGE syndrome"
"sleep apnea"
"limb ischemia"
"Marshall-Smith syndrome"
"hemorrhagic cystitis"
"colorectal adenoma"
"hepatocellular adenoma"
"synucleinopathy"
"gallbladder adenoma"
"bone chondrosarcoma"
"conjunctival nevus"
"colon adenoma"
"jejunal adenocarcinoma"
"duodenum adenoma"
"ovarian melanoma"
"hypomyelinating leukoencephalopathy"
"CD45 deficiency"
"lymphoma"
"cartilage cancer"
"finger agnosia"
"dentatorubral-pallidoluysian atrophy"
"colitis"
"acrofrontofacionasal dysostosis"
"pontocerebellar hypoplasia"
"photosensitive epilepsy"
"Ohdo syndrome"
"breast abscess"
"autoimmune neuropathy"
"mollusc allergy"
"Muenke Syndrome"
"Pendred Syndrome"
"Leri-Weill dyschondrosteosis"
"thrombosis"
"cerebellar hypoplasia"
"Alpers-Huttenlocher syndrome"
"otulipenia"
"meningococcal meningitis"
"haemophilus meningitis"
"Marinesco-Sjogren syndrome"
"colorectal carcinoma"
"Phelan-McDermid syndrome"
"desmoid tumor"
"epididymis disease"
"hyperprolinemia"
"COVID-19"
"bone sarcoma"
"limbic encephalitis"
"autoimmune myocarditis"
"extrinsic asthma"
"long COVID"
"semantic dementia"
"Nicolaides-Baraitser syndrome"
"PFAPA syndrome"
"birdshot chorioretinopathy"
"oligomeganephronia"
"neurofibromatosis 1"
"Sturge-Weber syndrome"
"isolated cryptophthalmia"
"Y-linked deafness"
"trichothiodystrophy"
"combined immunodeficiency"
"spondyloepiphyseal dysplasia"
"cycloplegia"
"sleeping sickness"
"keratoconus"
"conjunctival degeneration"
"conventional lipoma"
"pleural lipoma"
"dermatomyositis"
"ehrlichiosis"
"Raynaud disease"
"parotid disease"
"amblyopia"
"prolymphocytic leukemia"
"pneumonic plague"
"meningoencephalitis"
"pre-eclampsia"
"celiac disease"
"cystinosis"
"colon leiomyoma"
"open-angle glaucoma"
"epidemic pleurodynia"
"nephritis"
"spastic diplegia"
"ovarian disease"
"dissociative amnesia"
"leech infestation"
"bartonellosis"
"hydronephrosis"
"acquired thrombocytopenia"
"primary hyperparathyroidism"
"chlamydia"
"trachoma"
"keratomalacia"
"tick paralysis"
"erysipelas"
"tetanus"
"scleral disease"
"lens subluxation"
"heart disease"
"choroiditis"
"myxedema"
"nephrosclerosis"
"leukocoria"
"gastroparesis"
"tinea cruris"
"Creutzfeldt-Jakob disease"
"esophagitis"
"trachea sarcoma"
"vaginal disease"
"aseptic meningitis"
"fascioloidiasis"
"Graves' disease"
"pancytopenia"
"sulfhemoglobinemia"
"vagina leiomyoma"
"Bell's palsy"
"retinal ischemia"
"hepatitis A"
"paracoccidioidomycosis"
"acoustic neuroma"
"gynecomastia"
"leiomyoma"
"capillary disease"
"hypercementosis"
"rectal disease"
"sialolithiasis"
"balanitis"
"protein-deficiency anemia"
"uveitis"
"esophageal candidiasis"
"fungal esophagitis"
"porphyria"
"erythropoietic protoporphyria"
"Scheuermann's disease"
"tinea profunda"
"Kawasaki disease"
"hypercalcemic sarcoidosis"
"corneal argyrosis"
"excessive tearing"
"anterior scleritis"
"lymphogranuloma venereum"
"bacterial esophagitis"
"eosinophilic esophagitis"
"amenorrhea"
"schistosomiasis"
"cleidocranial dysplasia"
"lateral cystocele"
"central neurocytoma"
"X-linked agammaglobulinemia"
"ochronosis"
"Down syndrome"
"oral candidiasis"
"pleuropneumonia"
"blindness"
"Marfan syndrome"
"Machado-Joseph disease"
"Sjogren-Larsson syndrome"
"Niemann-Pick disease"
"candidal paronychia"
"Reye syndrome"
"glossitis"
"VACTERL association"
"Silver-Russell syndrome"
"Johanson-Blizzard syndrome"
"galactokinase deficiency"
"branchiootorenal syndrome"
"methylmalonic acidemia"
"lymphangioma"
"isovaleric acidemia"
"renal agenesis"
"cystic fibrosis"
"cystic echinococcosis"
"cholera"
"thrombocytopenia"
"keratosis"
"breast adenoma"
"glaucoma"
"cheilitis"
"thyroid cancer"
"pituitary cancer"
"cherubism"
"viral hepatitis"
"hyperuricemia"
"Gaucher's disease"
"telogen effluvium"
"rectum cancer"
"neuroma"
"placental choriocarcinoma"
"enthesopathy"
"hepatitis B"
"hepatitis D"
"autoimmune hepatitis"
"cystoisosporiasis"
"ovary sarcoma"
"essential thrombocythemia"
"thrombocytosis"
"vulvovaginal candidiasis"
"pharyngitis"
"leptospirosis"
"nocardiosis"
"viral gastritis"
"Crouzon syndrome"
