"angiosarcoma"
"pterygium"
"shrimp allergy"
"aspirin allergy"
"benzylpenicillin allergy"
"amoxicillin allergy"
"abacavir allergy"
"phenytoin allergy"
"cephalosporin allergy"
"amodiaquine allergy"
"aztreonam allergy"
"co-trimoxazole allergy"
"Chlamydia pneumonia"
"Polyomavirus-associated nephropathy"
"pemphigus gestationis"
"Hirata disease"
"erysipeloid"
"tinea imbricata"
"secretory diarrhea"
"motility-related diarrhea"
"podoconiosis"
"acute diarrhea"
"laryngotracheitis"
"Pontiac fever"
"tuberculous salpingitis"
"tick-borne encephalitis"
"monogenic disease"
"Powassan encephalitis"
"nephropathia epidemica"
"swine influenza"
"angiostrongyliasis"
"thelaziasis"
"tungiasis"
"ophthalmomyiasis"
"trichosporonosis"
"aniseikonia"
"congenital hypothyroidism"
"bradyopsia"
"hypophosphatemia"
"infant botulism"
"obsolete anaplasmosis"
"glandular tularemia"
"Carrion's disease"
"Stevens-Johnson syndrome"
"mulibrey nanism"
"Usher syndrome"
"pachyonychia congenita"
"Gitelman syndrome"
"Brugada syndrome"
"mevalonic aciduria"
"lissencephaly"
"obsolete arachnodactyly"
"hyperphosphatemia"
"Wolf-Hirschhorn syndrome"
"campomelic dysplasia"
"Farber lipogranulomatosis"
"Loeys-Dietz syndrome"
"Costello syndrome"
"Carney complex"
"monilethrix"
"sennetsu fever"
"bacterial exanthem"
"parenchymatous neurosyphilis"
"meningovascular neurosyphilis"
"exanthema subitum"
"spinal polio"
"bulbospinal polio"
"O'nyong'nyong fever"
"Oropouche fever"
"obsolete acroosteolysis"
"Gamstorp-Wohlfart syndrome"
"exudative vitreoretinopathy"
"Walker-Warburg syndrome"
"nonsyndromic deafness"
"orofacial cleft"
"spondylocostal dysostosis"
"D-2-hydroxyglutaric aciduria"
"hereditary lymphedema"
"gummatous syphilis"
"trichotillomania"
"tooth agenesis"
"intestinal schistosomiasis"
"extrapulmonary tuberculosis"
"abdominal tuberculosis"
"ADULT syndrome"
"acheiropody"
"acrocapitofemoral dysplasia"
"acrokeratosis verruciformis"
"Askin's tumor"
"Aicardi-Goutieres syndrome"
"Allan-Herndon-Dudley syndrome"
"oculocutaneous albinism"
"distal arthrogryposis"
"Arts syndrome"
"atelosteogenesis"
"Bamforth-Lazarus syndrome"
"Birk-Barel syndrome"
"Birt-Hogg-Dube syndrome"
"Bjornstad syndrome"
"Boomerang dysplasia"
"Bowen-Conradi syndrome"
"brachydactyly-syndactyly syndrome"
"Brody myopathy"
"Brooke-Spiegler syndrome"
"funisitis"
"Dent disease"
"aceruloplasminemia"
"serine deficiency"
"PSPH deficiency"
"Chanarin-Dorfman syndrome"
"alcohol dependence"
"obsolete paramyloidosis"
"ARC syndrome"
"Armfield syndrome"
"neuroacanthocytosis"
"choreaacanthocytosis"
"midface dysplasia"
"paraganglioma"
"rapadilino syndrome"
"schneckenbecken dysplasia"
"Joubert syndrome"
"hydrolethalus syndrome"
"Ogden syndrome"
"proximal symphalangism"
"cone dystrophy"
"androgenic alopecia"
"Kahrizi syndrome"
"mucopolysaccharidosis IX"
"biotin deficiency"
"urofacial syndrome"
"endocardium disease"
"generalized dystonia"
"focal dystonia"
"multifocal dystonia"
"segmental dystonia"
"oculogyric crisis"
"spasmodic dystonia"
"cranio-facial dystonia"
"hemidystonia"
"periampullary adenoma"
"diabetic encephalopathy"
"pyometritis"
"follicular lymphoma"
"Caroli disease"
"Troyer syndrome"
"ameloblastoma"
"bone ameloblastoma"
"medulloblastoma"
"myelodysplastic syndrome"
"cecum adenoma"
"vaginal carcinoma"
"cervical neuroblastoma"
"extra-adrenal pheochromocytoma"
"retroperitoneal neuroblastoma"
"endocervical adenocarcinoma"
"spastic ataxia"
"Omenn syndrome"
"CD3epsilon deficiency"
"coronin-1A deficiency"
"agammaglobulinemia 4"
"Good syndrome"
"intrinsic cardiomyopathy"
"atypical autism"
"paraphilia disorder"
"nosophobia"
"gluten allergy"
"pre-malignant neoplasm"
"benign neoplasm"
"brain meningioma"
"brain glioma"
"thoracic disease"
"pharynx cancer"
"alexithymia"
"amusia"
"anosognosia"
"apperceptive agnosia"
"apraxia"
"associative agnosia"
"auditory agnosia"
"autotopagnosia"
"color agnosia"
"cortical deafness"
"integrative agnosia"
"mirror agnosia"
"pain agnosia"
"phonagnosia"
"simultanagnosia"
"time agnosia"
"Kleine-Levin syndrome"
"Renpenning syndrome"
"microscopic colitis"
"collagenous colitis"
"diversion colitis"
"ileitis"
"Cogan-Reese syndrome"
"physical urticaria"
"agraphia"
"3MC syndrome"
"Adams-Oliver syndrome"
