"mepivacaine allergy"
"sulfonamide allergy"
"diclofenac allergy"
"quinidine allergy"
"Streptococcus pneumonia"
"bacterial sepsis"
"autoimmune gastritis"
"autoimmune pancreatitis"
"autoimmune cardiomyopathy"
"autoimmune atherosclerosis"
"autoimmune vasculitis"
"chikungunya"
"adiaspiromycosis"
"invasive aspergillosis"
"Keshan disease"
"obsolete entomophthoromycosis"
"hemophagocytic lymphohistiocytosis"
"sinusitis"
"osmotic diarrhea"
"inflammatory diarrhea"
"superficial mycosis"
"cutaneous mycosis"
"subcutaneous mycosis"
"systemic mycosis"
"Kartagener syndrome"
"otomycosis"
"Kunjin encephalitis"
"tick-borne encephalitis"
"Powassan encephalitis"
"polycystic echinococcosis"
"philophthalmiasis"
"acanthocephaliasis"
"baylisascariasis"
"dioctophymiasis"
"tungiasis"
"basidiobolomycosis"
"conidiobolomycosis"
"fusariosis"
"foodborne botulism"
"wound botulism"
"Stevens-Johnson syndrome"
"Hailey-Hailey disease"
"Andersen-Tawil syndrome"
"Frasier syndrome"
"Usher syndrome"
"pachyonychia congenita"
"Brugada syndrome"
"Farber lipogranulomatosis"
"Muir-Torre syndrome"
"erythrokeratodermia variabilis"
"monilethrix"
"Alstrom syndrome"
"Weill-Marchesani syndrome"
"paralytic poliomyelitis"
"hypermethioninemia"
"Walker-Warburg syndrome"
"Seckel syndrome"
"cone-rod dystrophy"
"L-2-hydroxyglutaric aciduria"
"intestinal schistosomiasis"
"acrodermatitis enteropathica"
"alopecia universalis"
"transthyretin amyloidosis"
"Bannayan-Riley-Ruvalcaba syndrome"
"Bethlem myopathy"
"branchiooculofacial syndrome"
"cardiomyopathy"
"electroclinical syndrome"
"Chanarin-Dorfman syndrome"
"nicotine dependence"
"metabolic acidosis"
"Zollinger-Ellison syndrome"
"iridogoniodysgenesis syndrome"
"biotin deficiency"
"Stargardt disease"
"atrioventricular block"
"artery disease"
"CHARGE syndrome"
"oromandibular dystonia"
"sleep apnea"
"limb ischemia"
"renal fibrosis"
"Marshall-Smith syndrome"
"hemorrhagic cystitis"
"colorectal adenoma"
"hepatocellular adenoma"
"villous adenoma"
"pancreatic agenesis"
"synucleinopathy"
"gallbladder adenoma"
"phalanx chondroma"
"medulloblastoma"
"conjunctival nevus"
"colon adenoma"
"jejunal adenocarcinoma"
"duodenum adenoma"
"ovarian melanoma"
"mucosal melanoma"
"infective endocarditis"
"CD45 deficiency"
"lymphoma"
"non-Hodgkin lymphoma"
"Pearson syndrome"
"cartilage cancer"
"amusia"
"cortical deafness"
"finger agnosia"
"astereognosia"
"tactile agnosia"
"time agnosia"
"topographical agnosia"
"visual agnosia"
"dentatorubral-pallidoluysian atrophy"
"pain disorder"
"histidinemia"
"colitis"
"ischemic colitis"
"ileocolitis"
"Crohn's colitis"
"atrial fibrillation"
"acrofrontofacionasal dysostosis"
"Dowling-Degos disease"
"gallbladder disease"
"pontocerebellar hypoplasia"
"photosensitive epilepsy"
"breast abscess"
"ectopic pregnancy"
"glucocorticoid-induced osteoporosis"
"SATB2-associated syndrome"
"stromal dystrophy"
"Zika fever"
"Shwachman-Diamond syndrome"
"autoimmune neuropathy"
"Muenke Syndrome"
"Pendred Syndrome"
"Leri-Weill dyschondrosteosis"
"salmonellosis"
"thrombosis"
"sitosterolemia 2"
"cerebellar hypoplasia"
"Kniest dysplasia"
"intestinal pseudo-obstruction"
"Alpers-Huttenlocher syndrome"
"Cryptococcal meningitis"
"Cytomegalovirus retinitis"
"meningococcal meningitis"
"mucositis"
"haemophilus meningitis"
"Marinesco-Sjogren syndrome"
"colorectal carcinoma"
"Phelan-McDermid syndrome"
"endometrial hyperplasia"
"epididymis disease"
"mucolipidosis"
"hyperprolinemia"
"COVID-19"
"bone sarcoma"
"tongue carcinoma"
"aortic dissection"
"Libman-Sacks endocarditis"
"autoimmune myocarditis"
"extrinsic asthma"
"childhood-onset asthma"
"pemphigoid"
"long COVID"
"pemphigus foliaceus"
"oral rhabdomyosarcoma"
"polymicrogyria"
"acquired angioedema"
"non-severe COVID-19"
"pineocytoma"
"BCOR-CCNB3 sarcoma"
"PFAPA syndrome"
"oligomeganephronia"
"Prinzmetal angina"
"neurofibromatosis 1"
"Sturge-Weber syndrome"
"cryptophthalmia"
"isolated cryptophthalmia"
"Aarskog syndrome"
"trichothiodystrophy"
"combined immunodeficiency"
"spondylometaphyseal dysplasia"
"compensatory emphysema"
"cycloplegia"
"larynx leiomyoma"
"diphyllobothriasis"
"cysticercosis"
"sparganosis"
"sleeping sickness"
"trypanosomiasis"
"keratoconus"
"venous insufficiency"
"conjunctival degeneration"
"neuroretinitis"
"conventional lipoma"
"pleural lipoma"
"breast lipoma"
"axillary lipoma"
"obsolete polymyositis"
"histoplasmosis pericarditis"
"exhibitionism"
"ehrlichiosis"
"mumps"
"Raynaud disease"
"parotid disease"
"sialadenitis"
"viral meningitis"
"slate pneumoconiosis"
"kaolin pneumoconiosis"
"breast cyst"
"breast fibroadenosis"
"strabismic amblyopia"
"prolymphocytic leukemia"
"pneumonic plague"
"Klippel-Feil syndrome"
"dentin caries"
"patellar tendinitis"
"imperforate anus"
"gastric lymphoma"
"meningoencephalitis"
"osteomalacia"
"leukodystrophy"
"Refsum disease"
"intellectual disability"
"pre-eclampsia"
"Hartnup disease"
"tropical sprue"
"celiac disease"
"microphthalmia"
"cystinosis"
"colon leiomyoma"
"open-angle glaucoma"
"giardiasis"
"kidney failure"
"bubonic plague"
"fiedler's myocarditis"
"mesenteric lymphadenitis"
"premature menopause"
"sexual sadism"
"Japanese encephalitis"
"sexual masochism"
"Edwards syndrome"
"epidemic pleurodynia"
"hypospadias"
"tooth disease"
"obsolete transsexualism"
"dissociative disorder"
"nephritis"
"strongyloidiasis"
"spastic diplegia"
"spastic monoplegia"
"hemiplegia"
"salpingo-oophoritis"
"oophoritis"
"lens disease"
"ovarian disease"
"pinguecula"
"corneal edema"
"dissociative amnesia"
"depersonalization disorder"
"esophagus lymphoma"
"brucellosis"
"leech infestation"
"myiasis"
"bartonellosis"
"hydronephrosis"
"acquired thrombocytopenia"
"secondary hypertension"
"prostatic hypertrophy"
"sarcoma"
"respiratory failure"
"band keratopathy"
"acute conjunctivitis"
"hypoparathyroidism"
"esophageal varix"
"primary hyperparathyroidism"
"social phobia"
"rabies"
"chlamydia"
"trachoma"
"keratomalacia"
"histoplasmosis retinitis"
"schizophreniform disorder"
"erysipelas"
"sarcoidosis"
"tetanus"
"arcus senilis"
"scleral disease"
"lens subluxation"
"congenital aphakia"
"spinal meningioma"
"heart disease"
"choroiditis"
"sciatic neuropathy"
"autonomic neuropathy"
"fissured tongue"
"hypertensive retinopathy"
"streptococcal meningitis"
"penile cancer"
"myxedema"
"nephrosclerosis"
"Patau syndrome"
"onchocerciasis"
"familial hyperlipidemia"
"dysgammaglobulinemia"
"gestational diabetes"
"distal myopathy"
"Lyme disease"
"choledocholithiasis"
"leukocoria"
"astigmatism"
"ureter cancer"
"bladder lymphoma"
"Pick's disease"
"vaginal cancer"
"gastroparesis"
"tinea cruris"
"Creutzfeldt-Jakob disease"
"esophagitis"
"Prader-Willi syndrome"
"tracheal lymphoma"
"trachea sarcoma"
"cryptococcosis"
"Dieulafoy lesion"
"trigeminal neuralgia"
"vaginal disease"
"optic neuritis"
"pica disease"
"bulimia nervosa"
"dysthymic disorder"
"arachnoiditis"
"fascioloidiasis"
"goiter"
"tinea corporis"
"echinostomiasis"
"dengue disease"
"filarial elephantiasis"
"histoplasmosis meningitis"
"hemophilia B"
"aniridia"
"vitiligo"
"marasmus"
"retroperitoneum carcinoma"
"osteogenesis imperfecta"
"fetishism"
"alcoholic hepatitis"
"viral labyrinthitis"
"endocrine exophthalmos"
"Graves' disease"
"bronchopneumonia"
"shigellosis"
"balantidiasis"
"entropion"
"leukemia"
"pancytopenia"
"sulfhemoglobinemia"
"capillariasis"
"vagina leiomyoma"
"Bell's palsy"
"tuberculous epididymitis"
"retinal ischemia"
"trichuriasis"
"hepatitis A"
"hemolytic-uremic syndrome"
"dyscalculia"
"velocardiofacial syndrome"
"hiatus hernia"
"paracoccidioidomycosis"
"pseudobulbar palsy"
"vestibular neuronitis"
"acoustic neuroma"
"locked-in syndrome"
"gynecomastia"
"leiomyoma"
"hyperprolactinemia"
"ataxia telangiectasia"
"telangiectasis"
"hypercementosis"
"cyclosporiasis"
"choroid cancer"
"diabetic polyneuropathy"
"mucopolysaccharidosis"
"mucopolysaccharidosis II"
"mucopolysaccharidosis I"
"rectal disease"
"neurodegenerative disease"
"Sjogren's syndrome"
"Mikulicz disease"
"necrotizing sialometaplasia"
"sialolithiasis"
"alcoholic cardiomyopathy"
"vulva carcinoma"
"Poland syndrome"
"hereditary spherocytosis"
"carotid stenosis"
"lobomycosis"
"balanoposthitis"
"balanitis"
"periventricular leukomalacia"
"Moyamoya disease"
"paronychia"
"suppurative uveitis"
"uveitis"
"esophageal candidiasis"
"fungal esophagitis"
"brain cancer"
"endemic goiter"
"nodular prostate"
"uterine fibroid"
"porphyria"
"erythropoietic protoporphyria"
"Scheuermann's disease"
"pedophilia"
"Ehlers-Danlos syndrome"
"tinea manuum"
"Kawasaki disease"
"angioid streaks"
"neurosarcoidosis"
"cardiac sarcoidosis"
"pulmonary sarcoidosis"
"hypercalcemic sarcoidosis"
"hepatic encephalopathy"
"urethritis"
"corneal argyrosis"
"scleritis"
"gonococcal bursitis"
"jejunal cancer"
"kwashiorkor"
"obstructive jaundice"
"campylobacteriosis"
"posterior scleritis"
"SAPHO syndrome"
"premature ejaculation"
"dental fluorosis"
"neuroschistosomiasis"
"excessive tearing"
"plantar wart"
"chancroid"
"anterior scleritis"
"endometrial cancer"
"pharyngoconjunctival fever"
"familial hypercholesterolemia"
"lymphogranuloma venereum"
"irregular astigmatism"
"bacterial esophagitis"
"eosinophilic esophagitis"
"facial paralysis"
"amenorrhea"
"schistosomiasis"
"cleidocranial dysplasia"
