"thyroid adenoma"
"dysgerminoma"
"hyperlucent lung"
"thyroid cancer"
"Monckeberg arteriosclerosis"
"Kuhnt-Junius degeneration"
"pancreatic somatostatinoma"
"monocular exotropia"
"microcephaly"
"mucopolysaccharidosis"
"venous insufficiency"
"hypopituitarism"
"uveitis"
"tinea favosa"
"intrahepatic cholestasis"
"osteochondrodysplasia"
"esophageal tuberculosis"
"breast leiomyosarcoma"
"spondyloarthropathy"
"breast abscess"
"autoimmune myocarditis"
"influenza"
"cholesteatoma"
"hemoglobinopathy"
"colon lymphoma"
"renal agenesis"
"patellar tendinitis"
"acute cholangitis"
"lateral sclerosis"
"hemopericardium"
"acrofrontofacionasal dysostosis"
"malignant astrocytoma"
"bacillary angiomatosis"
