"cataract 29"
"pseudobulbar palsy"
"thymus lipoma"
"sulfamethoxazole allergy"
"nephronophthisis 9"
"toxic pneumonitis"
"Robinow syndrome"
"schizophrenia 1"
"sexual sadism"
"obsolete fowlpox"
"aortic disease"
"saved-by"
"Halperin-Birk syndrome"
"pancreas lymphoma"
"finger agnosia"
"brain angioma"
"meningeal melanocytoma"
"proximal symphalangism"
"gangliosidosis"
"acrocapitofemoral dysplasia"
"post-vaccinal encephalitis"
"cefotiam allergy"
"Mahvash Disease"
"ocular hypertension"
"combined thymoma"
"epulis"
"cranio-facial dystonia"
"Winchester syndrome"
"C syndrome"
"peliosis hepatis"
"orbit sarcoma"
"neonatal jaundice"
"adjustment disorder"
"injection anthrax"
"schizophrenia 9"
"intermittent proptosis"
"penicillin allergy"
"Raynaud-Claes syndrome"
"rosacea"
"Riley-Day syndrome"
"cholesterol embolism"
"reading disorder"
"Brody myopathy"
"GAND syndrome"
"Fraser syndrome"
"thymus cancer"
"nonphotosensitive trichothiodystrophy"
"malignant adenofibroma"
"Bowen-Conradi syndrome"
"otorrhea"
"kidney sarcoma"
"endocardial fibroelastosis"
"rickets"
"sphenoorbital meningioma"
"subglottis cancer"
"Roberts syndrome"
"globe disease"
"galactosemia 4"
"pertussis"
"muscular dystrophy-dystroglycanopathy"
"gastric leiomyoma"
"strabismus"
"intermittent proptosis"
"Aagenaes syndrome"
"spondyloperipheral dysplasia"
"Mooren's ulcer"
"Kenny-Caffey syndrome"
"CHIME syndrome"
"parsley allergy"
"lipid-rich carcinoma"
"secretory meningioma"
"immunodeficiency 35"
"Temple syndrome"
"cataract 7"
"papillary adenocarcinoma"
"Mononen-Karnes-Senac syndrome"
"myoblastoma"
"lymphangitis"
