entity_type,entity_name,relation,template,missing_attribute
disease,Legg–Calvé–Perthes disease,was first identified by,The disease Legg–Calvé–Perthes disease was first identified by ,Karel Maydl
disease,arch of circle,was first identified by,The disease arch of circle was first identified by ,Jean-Martin Charcot
disease,Wiskott-Aldrich syndrome,was first identified by,The disease Wiskott-Aldrich syndrome was first identified by ,Alfred Wiskott
disease,congenital megacalycosis,was first identified by,The disease congenital megacalycosis was first identified by ,Antoni Puigvert
disease,Gordon-Holmes syndrome,was first identified by,The disease Gordon-Holmes syndrome was first identified by ,Gordon Morgan Holmes
disease,Dysaethesia Aethiopica,was first identified by,The disease Dysaethesia Aethiopica was first identified by ,Samuel A. Cartwright
disease,Bruns apraxia,was first identified by,The disease Bruns apraxia was first identified by ,Ludwig Bruns
disease,Bonnier syndrome,was first identified by,The disease Bonnier syndrome was first identified by ,Pierre Bonnier
disease,lacunar stroke,was first identified by,The disease lacunar stroke was first identified by ,Miller Fisher
disease,Austrian syndrome,was first identified by,The disease Austrian syndrome was first identified by ,Robert Austrian
disease,erythromelalgia,was first identified by,The disease erythromelalgia was first identified by ,Silas Weir Mitchell
disease,lunchmate syndrome,was first identified by,The disease lunchmate syndrome was first identified by ,Shizuo Machizawa
disease,aphemia,was first identified by,The disease aphemia was first identified by ,Paul Broca
disease,chronic congestive splenomegaly,was first identified by,The disease chronic congestive splenomegaly was first identified by ,Guido Banti
disease,Majocchi's disease,was first identified by,The disease Majocchi's disease was first identified by ,Domenico Majocchi
disease,metaphysical intoxication,was first identified by,The disease metaphysical intoxication was first identified by ,Theodor Ziehen
disease,Franceschetti-Leber phenomenon,was first identified by,The disease Franceschetti-Leber phenomenon was first identified by ,Theodor Leber
disease,microphthalmia with limb anomalies,was first identified by,The disease microphthalmia with limb anomalies was first identified by ,Petrus Johannes Waardenburg
disease,Mortimer's disease,was first identified by,The disease Mortimer's disease was first identified by ,Jonathan Hutchinson
disease,Dyssynchrony,was first identified by,The disease Dyssynchrony was first identified by ,Jean-Charles Terrassier
disease,Huntington's disease,was first identified by,The disease Huntington's disease was first identified by ,George Huntington
disease,Minor's disease,was first identified by,The disease Minor's disease was first identified by ,Lazar Solomonovich Minor
disease,ring chromosome,was first identified by,The disease ring chromosome was first identified by ,Lilian Vaughan Morgan
disease,drapetomania,was first identified by,The disease drapetomania was first identified by ,Samuel A. Cartwright
disease,phlebotomus fever,was first identified by,The disease phlebotomus fever was first identified by ,Alois Pick
disease,Reichmann's disease,was first identified by,The disease Reichmann's disease was first identified by ,Mikołaj Rejchman
disease,Mallory–Weiss syndrome,was first identified by,The disease Mallory–Weiss syndrome was first identified by ,George Kenneth Mallory
disease,Benjamin syndrome,was first identified by,The disease Benjamin syndrome was first identified by ,Erich Benjamin
disease,Avellis syndrome,was first identified by,The disease Avellis syndrome was first identified by ,Georg Avellis
disease,Madelung's deformity,was first identified by,The disease Madelung's deformity was first identified by ,Otto Wilhelm Madelung
disease,reward deficiency syndrome,was first identified by,The disease reward deficiency syndrome was first identified by ,Kenneth Blum
disease,Cotton Excreting Diseases,was first identified by,The disease Cotton Excreting Diseases was first identified by ,Q118323860
disease,Secretan's syndrome,was first identified by,The disease Secretan's syndrome was first identified by ,Henri Secretan
